epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3052.64,0.9305,0.58969,0.99722,0.9044,0.80657,0.90625,0.67194,0.88513,0.55271,1.00737,0.0011882,0.0011882,0.0011882
43,3287.15,0.9375,0.59152,0.9979,0.89376,0.818,0.90816,0.67819,0.86592,0.53894,1.0011,0.0011684,0.0011684,0.0011684
44,3511.55,0.93814,0.58864,0.99658,0.92147,0.81073,0.913,0.67878,0.86983,0.53218,0.99649,0.0011486,0.0011486,0.0011486
45,3733.53,0.93379,0.58862,0.99724,0.9145,0.81423,0.90907,0.68406,0.86214,0.53327,0.99577,0.0011288,0.0011288,0.0011288
46,3956.06,0.9338,0.58633,0.99666,0.90466,0.81425,0.90745,0.68036,0.86331,0.53503,0.99439,0.001109,0.001109,0.001109
47,4177.92,0.92621,0.58185,0.99557,0.91523,0.81384,0.91103,0.68491,0.86188,0.5276,0.99415,0.0010892,0.0010892,0.0010892
48,4399.82,0.9234,0.57791,0.99161,0.90795,0.82353,0.91441,0.6902,0.84947,0.51936,0.98801,0.0010694,0.0010694,0.0010694
49,4624.26,0.92192,0.57792,0.98713,0.90852,0.82076,0.91441,0.68843,0.84709,0.51989,0.98568,0.0010496,0.0010496,0.0010496
50,4850.74,0.91118,0.57197,0.98689,0.91513,0.82076,0.91213,0.69109,0.84406,0.52132,0.98827,0.0010298,0.0010298,0.0010298
51,5072.02,0.91497,0.57436,0.98701,0.91815,0.82292,0.9168,0.69472,0.83835,0.52125,0.98496,0.00101,0.00101,0.00101
52,5295.8,0.91314,0.57258,0.98316,0.91545,0.81668,0.91463,0.69222,0.84054,0.51606,0.98247,0.0009902,0.0009902,0.0009902
53,5515.98,0.90894,0.57146,0.98256,0.92054,0.82284,0.91465,0.69448,0.83457,0.51681,0.98068,0.0009704,0.0009704,0.0009704
54,5737.71,0.90897,0.57377,0.98324,0.91723,0.81672,0.91531,0.69243,0.8394,0.52248,0.98216,0.0009506,0.0009506,0.0009506
55,5962.57,0.90494,0.56864,0.98016,0.90922,0.82479,0.91472,0.69563,0.83201,0.52095,0.97953,0.0009308,0.0009308,0.0009308
56,6184.63,0.90469,0.57032,0.98147,0.91907,0.82523,0.91691,0.69703,0.83613,0.52063,0.97955,0.000911,0.000911,0.000911
57,6407,0.90062,0.5682,0.97685,0.90661,0.83114,0.91661,0.69951,0.82917,0.51756,0.97654,0.0008912,0.0008912,0.0008912
58,6628.27,0.89372,0.56532,0.97331,0.91562,0.82734,0.9175,0.69892,0.83301,0.51526,0.97948,0.0008714,0.0008714,0.0008714
59,6849.36,0.89065,0.56281,0.97237,0.9089,0.8308,0.91776,0.70147,0.82851,0.51435,0.9761,0.0008516,0.0008516,0.0008516
60,7073.63,0.89178,0.5611,0.97158,0.92637,0.81869,0.91949,0.7032,0.82325,0.5149,0.97382,0.0008318,0.0008318,0.0008318
61,7295.26,0.88615,0.55876,0.96927,0.92313,0.82145,0.92069,0.70362,0.81789,0.51155,0.97185,0.000812,0.000812,0.000812
62,7516.12,0.88252,0.55535,0.96664,0.92016,0.82215,0.91947,0.70734,0.81652,0.50356,0.97046,0.0007922,0.0007922,0.0007922
63,7740.13,0.88101,0.55025,0.96671,0.9224,0.82284,0.92056,0.70765,0.81692,0.50775,0.97064,0.0007724,0.0007724,0.0007724
64,7960.82,0.87993,0.55119,0.96357,0.91332,0.83124,0.92037,0.7066,0.81224,0.50365,0.96803,0.0007526,0.0007526,0.0007526
65,8182.11,0.87481,0.54821,0.96163,0.92937,0.82416,0.92283,0.70991,0.8118,0.5045,0.96789,0.0007328,0.0007328,0.0007328
66,8404.06,0.87177,0.54991,0.96622,0.92487,0.8264,0.92437,0.70937,0.81381,0.50174,0.96633,0.000713,0.000713,0.000713
67,8623.78,0.86952,0.54626,0.95877,0.91405,0.83897,0.92465,0.71249,0.80665,0.49914,0.96516,0.0006932,0.0006932,0.0006932
68,8845.97,0.86356,0.54306,0.96007,0.91435,0.84048,0.92444,0.71129,0.80612,0.49987,0.9651,0.0006734,0.0006734,0.0006734
69,9067.15,0.8629,0.54129,0.96159,0.92556,0.83038,0.92402,0.71251,0.80545,0.49942,0.96613,0.0006536,0.0006536,0.0006536
70,9322.42,0.85137,0.53478,0.9531,0.9214,0.83561,0.92473,0.71519,0.80109,0.49674,0.96307,0.0006338,0.0006338,0.0006338
71,9655.34,0.85903,0.53714,0.95568,0.92771,0.83183,0.9242,0.71411,0.79826,0.49339,0.96282,0.000614,0.000614,0.000614
72,9877.23,0.8544,0.5393,0.95284,0.90818,0.84187,0.92358,0.71509,0.7947,0.49263,0.96074,0.0005942,0.0005942,0.0005942
73,10100.2,0.85566,0.53407,0.9553,0.91305,0.84299,0.9262,0.71918,0.79209,0.49226,0.95961,0.0005744,0.0005744,0.0005744
74,10320.7,0.84934,0.53233,0.95202,0.91459,0.84482,0.9244,0.71815,0.79459,0.49047,0.96104,0.0005546,0.0005546,0.0005546
75,10542.2,0.84356,0.52797,0.951,0.92046,0.84221,0.92729,0.71998,0.7898,0.48715,0.95871,0.0005348,0.0005348,0.0005348
76,10766.6,0.8443,0.52676,0.94772,0.92777,0.8346,0.92692,0.71997,0.79104,0.48941,0.95841,0.000515,0.000515,0.000515
77,10987.4,0.8375,0.52441,0.94413,0.92505,0.83709,0.9269,0.72019,0.78637,0.48966,0.95637,0.0004952,0.0004952,0.0004952
78,11209.2,0.8339,0.52477,0.94727,0.92692,0.82944,0.92702,0.72294,0.78445,0.48466,0.95635,0.0004754,0.0004754,0.0004754
79,11431.6,0.8339,0.52421,0.94841,0.91907,0.8449,0.92664,0.72315,0.78616,0.48615,0.95956,0.0004556,0.0004556,0.0004556
80,11651.7,0.831,0.52046,0.94758,0.9248,0.83737,0.92756,0.72357,0.78238,0.48338,0.95668,0.0004358,0.0004358,0.0004358
81,11880.3,0.83164,0.5197,0.9455,0.93147,0.83246,0.92815,0.72368,0.7799,0.48452,0.95592,0.000416,0.000416,0.000416
82,12103.1,0.82721,0.51485,0.94157,0.91162,0.85306,0.92966,0.72505,0.77753,0.48252,0.95474,0.0003962,0.0003962,0.0003962
83,12323.9,0.82289,0.51668,0.94294,0.91862,0.84775,0.92968,0.72498,0.77847,0.48074,0.954,0.0003764,0.0003764,0.0003764
84,12549.9,0.82123,0.51167,0.94444,0.92437,0.8458,0.93035,0.7257,0.77793,0.48092,0.95351,0.0003566,0.0003566,0.0003566
85,12775.5,0.8204,0.51243,0.94281,0.9242,0.84533,0.92928,0.72618,0.77614,0.47855,0.95269,0.0003368,0.0003368,0.0003368
86,12999.1,0.81443,0.51045,0.94289,0.9237,0.84533,0.92946,0.72632,0.77287,0.47882,0.95233,0.000317,0.000317,0.000317
87,13222.6,0.81458,0.50981,0.9393,0.92192,0.84985,0.93016,0.72864,0.77084,0.47544,0.95187,0.0002972,0.0002972,0.0002972
88,13443.7,0.81195,0.50704,0.94124,0.92413,0.84718,0.92995,0.72859,0.77,0.47575,0.95127,0.0002774,0.0002774,0.0002774
89,13667.1,0.80931,0.50597,0.94028,0.92779,0.84915,0.9306,0.72931,0.76717,0.47437,0.9501,0.0002576,0.0002576,0.0002576
90,13892.5,0.80747,0.50576,0.93518,0.92451,0.85177,0.9304,0.72959,0.76863,0.47515,0.95072,0.0002378,0.0002378,0.0002378
91,14104.2,0.78834,0.49014,0.92721,0.91978,0.8474,0.92875,0.72537,0.77876,0.48074,0.95389,0.000218,0.000218,0.000218
92,14315.5,0.7715,0.47415,0.92131,0.91888,0.85156,0.92813,0.72855,0.77366,0.47945,0.95199,0.0001982,0.0001982,0.0001982
93,14526.7,0.76266,0.47113,0.91912,0.92589,0.84394,0.92798,0.72807,0.77106,0.4795,0.95015,0.0001784,0.0001784,0.0001784
94,14738,0.75774,0.46447,0.91865,0.92383,0.84913,0.93044,0.72981,0.7697,0.47604,0.94961,0.0001586,0.0001586,0.0001586
95,14952.2,0.75315,0.46648,0.91388,0.92429,0.84706,0.93018,0.731,0.76974,0.47735,0.94967,0.0001388,0.0001388,0.0001388
96,15164.3,0.75696,0.46719,0.91548,0.92117,0.84917,0.93082,0.73176,0.77082,0.47698,0.94993,0.000119,0.000119,0.000119
97,15374.1,0.75289,0.46375,0.91402,0.92179,0.85017,0.92941,0.73085,0.76923,0.47451,0.94917,9.92e-05,9.92e-05,9.92e-05
98,15590.2,0.74961,0.46311,0.91362,0.92621,0.85123,0.9305,0.73184,0.76935,0.47367,0.94906,7.94e-05,7.94e-05,7.94e-05
99,15805.7,0.74872,0.46097,0.9136,0.92639,0.84948,0.93071,0.73284,0.76823,0.47325,0.94888,5.96e-05,5.96e-05,5.96e-05
100,16019.5,0.74351,0.46033,0.91109,0.9219,0.85329,0.93098,0.73345,0.76633,0.47252,0.94842,3.98e-05,3.98e-05,3.98e-05
